BPS_NAME,GROUPNAME,GROUPVEG,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
Chihuahuan Creosotebush Desert Scrub,Creosote-Tarwort-5,Shrubland,0,25,25,0,3,,,,,,,,,,,
Chihuahuan Grama Grass-Creosote Steppe,Acacia-Creosote-5,Shrubland,0,60,10,0,3,,,,,,,,,,,
Chihuahuan Gypsophilous Grassland and Steppe,Alkali Sacaton-Gypsum Grama-5,Grassland,0,99,0,0,1,,,,,,,,,,,
Chihuahuan Loamy Plains Desert Grassland,Tobosagrass-Black Grama-2,Grassland,0,60,0,0,,,,,,,,,,,,
Chihuahuan Mixed Desert and Thorn Scrub,Acacia-Creosote-5,Shrubland,0,25,25,0,3,,,,,,,,,,,
Chihuahuan Mixed Desert Shrubland,Acacia-Creosote-5,Shrubland,0,25,25,0,3,,,,,,,,,,,
Chihuahuan Mixed Salt Desert Scrub,Fourwing Saltbrush-Horsebrush-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Chihuahuan Sandy Plains Semi-Desert Grassland,Indian Ricegrass-Black Grama-5,Grassland,0,60,0,0,,,,,,,,,,,,
Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Mesquite-Fourwing Saltbush-5,Shrubland,0,25,25,0,,,,,,,,,,,,
Chihuahuan Succulent Desert Scrub,Ocotillo-Cactus-4,Shrubland,0,25,25,0,3,,,,,,,,,,,
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,Tobosagrass-Alkali Sacaton-2,Grassland,0,60,0,0,,,,,,,,,,,,
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland - Alkali Sacaton,AlkaliSacaton-Tobosa-2,Grassland,0,60,0,0,,,,,,,,,,,,
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland - Tobosa Grassland,Tobosagrass-Tree Cholla-2,Grassland,0,60,0,0,,,,,,,,,,,,
Colorado Plateau Blackbrush-Mormon-tea Shrubland,Blackbrush-Mormon Tea-3,Shrubland,0,25,25,0,1,,,,,,,,,,,
Colorado Plateau Mixed Low Sagebrush Shrubland,Bigelow Sage-Low Sage-4,Shrubland,0,25,25,0,1,,,,,,,,,,,
Colorado Plateau Pinyon-Juniper Shrubland,Two Needle Pinyon-Utah Juniper-3,Conifer,0,99,60,0,15,1,1,,1,0,0,0,1,0,0,0
Colorado Plateau Pinyon-Juniper Woodland,Two Needle Pinyon-Utah Juniper-3,Conifer,0,99,60,60,15,1,1,,1,0,0,0,1,0,0,0
Columbia Basin Foothill and Canyon Dry Grassland,Bluebunch Wheatgrass-Sandberg Bluegrass-1,Grassland,0,99,0,0,,,,,,,,,,,,
Columbia Basin Palouse Prairie,Bluebunch Wheatgrass-Idaho Fescue-1,Grassland,0,99,0,0,,,,,,,,,,,,
Columbia Plateau Low Sagebrush Steppe,Low Sage-Idaho Fescue-3,Shrubland,0,60,10,0,1,,,,,,,,,,,
Columbia Plateau Scabland Shrubland,Low Sage-Scabland Sage-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Columbia Plateau Steppe and Grassland,Indian Ricegrass-Squirreltail-4,Grassland,0,99,0,0,,,,,,,,,,,,
Columbia Plateau Western Juniper Woodland and Savanna,Western Juniper-Low Sage-3,Conifer,0,99,25,25,15,1,1,,1,0,0,0,1,0,0,0
Crosstimbers Oak Forest and Woodland,Post Oak-Blackjack Oak-Big Bluestem-1,Hardwood,0,100,85,85,20,0,,1,0,0,0,1,0,0,0,1
East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Douglas Fir-Grand Fir Mix-3,Conifer,0,100,95,95,30,1,1,,1,0,0,0,1,0,0,0
East Cascades Oak-Ponderosa Pine Forest and Woodland,Ponderosa Pine-Oregon White Oak-1,Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
East Gulf Coastal Plain Dune and Coastal Grassland,Sea Oats-5,Grassland,0,99,0,0,,,,,,,,,,,,
East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Shortleaf Pine-Oaks-1,Hardwood-Conifer,0,100,95,95,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,0,99,60,60,25,1,0.9,,1,0.111111111,0,0,0.9,0.1,0,0
East Gulf Coastal Plain Jackson Plain Prairie and Barrens,White Oak-Post Oak- Big Bluestem-1,Grassland,0,99,10,10,,0,,1,0,0,0,1,0,0,0,1
East Gulf Coastal Plain Limestone Forest,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,0,100,95,95,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
East Gulf Coastal Plain Maritime Forest,Slash Pine-Myrtle Oak-Saw Palmetto-1,Hardwood-Conifer,0,100,80,60,25,1,0.3,,0.428571429,1,0,0,0.3,0.7,0,0
East Gulf Coastal Plain Near-Coast Pine Flatwoods,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,0.5,99,80,60,30,1,0.5,,1,1,0,0,0.5,0.5,0,0
East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,White Oak-Post Oak-Hickory-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
East Gulf Coastal Plain Northern Loess Bluff Forest,Beech-White Oak-Cucumber Tree-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,White Oak-Post Oak-Hickory-1,Hardwood,0,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
East Gulf Coastal Plain Savanna and Wet Prairie,Beyrich Threeawn-Toothache Grass-Longleaf Pine-1,Savanna,1,99,5,5,25,1,0.9,,1,0.111111111,0,0,0.9,0.1,0,0
East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,Loblolly Pine-Willow Oak-1,Riparian,0.5,99,80,80,40,0.5,1,1,1,0,0,1,0.5,0,0,0.5
East Gulf Coastal Plain Southern Loess Bluff Forest,Cherrybark Oak-Sweetgum-Beech-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
East-Central Texas Plains Post Oak Savanna and Woodland,Big Bluestem-Little Bluestem-Post Oak-1,Grassland,0,99,25,25,,0,,1,0,0,0,1,0,0,0,1
East-Central Texas Plains Southern Pine Forest and Woodland,Loblolly Pine- Post Oak-Big Bluestem-1,Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Eastern Boreal Floodplain,Black Ash-Balsam Poplar-Balsam Fir-3,Hardwood,1,99,95,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Eastern Great Plains Floodplain Systems,Eastern Cottonwood-Green Ash-Ginger-3,Riparian,1,99,95,85,30,0,,1,0,0,0,1,0,0,0,1
Eastern Great Plains Tallgrass Aspen Parkland,Quaking Aspen-Balsam Poplar-Big Bluestem-1,Hardwood,0,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
Eastern Great Plains Wet Meadow-Prairie-Marsh,Big Bluestem-Switchgrass-2,Grassland,1,99,0,0,,,,,,,,,,,,
Eastern Highland Rim Prairie and Barrens,White Oak-Post Oak- Big Bluestem-1,Grassland,0,99,25,10,,0,,1,0,0,0,1,0,0,0,1
Eastern Serpentine Woodland,White Oak-Pine-Serpentine Forbs-1,Hardwood-Conifer,0,95,60,60,20,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Edwards Plateau Dry-Mesic Slope Forest and Woodland,Ashes Juniper-Buckley Oak-Texas Ash-1,Hardwood,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Edwards Plateau Limestone Savanna and Woodland,Texas Live Oak-Buckleys Oak-Little Bluestem-1,Hardwood,0,99,25,25,20,0.5,0.5,1,0.5,0.5,0,1,0.25,0.25,0,0.5
Edwards Plateau Limestone Shrubland,Sandpaper Oak-Pinchots Juniper-1,Conifer,0,99,60,0,15,1,0.5,,1,1,0,0,0.5,0.5,0,0
Edwards Plateau Mesic Canyon,Buckley Oak-Bigtooth Maple-Black Cherry-3,Hardwood,0,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
Edwards Plateau Riparian,American Sycamore-Cedar Elm-Bushy Bluestem-1,Riparian,1,99,60,60,30,0,,1,0,0,0,1,0,0,0,1
Florida Dry Prairie,Threeawn-Saw Palmetto-2,Grassland,0,99,0,0,,,,,,,,,,,,
Florida Longleaf Pine Sandhill,Longleaf Pine-Florida Alicia-1,Conifer,0,99,60,60,,1,0.9,,1,0.111111111,0,0,0.9,0.1,0,0
Florida Peninsula Inland Scrub,Ocala Sand Pine-2,Conifer,0,95,60,10,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
Floridian Highlands Freshwater Marsh,Sand Cordgrass-Maidencane-2,Riparian,1,99,0,0,,,,,,,,,,,,
Great Basin Pinyon-Juniper Woodland,Singleleaf Pinyon-Utah Juniper-3,Conifer,0,99,60,60,15,1,1,,1,0,0,0,1,0,0,0
Great Basin Semi-Desert Chaparral,Pointleaf Manzanita-Desert Ceanothus-Birchleaf Mountain Mahogany-4,Shrubland,0,60,60,0,3,,,,,,,,,,,
Great Basin Xeric Mixed Sagebrush Shrubland,Black Sage-Low Sage-3,Shrubland,0,25,25,0,,,,,,,,,,,,
Great Lakes Alvar,Common Juniper-Richardsons Sedge-Povertygrass-5,Conifer,0,99,95,95,15,1,1,,1,0,0,0,1,0,0,0
Great Lakes Coastal Marsh Systems,Common Threesquare-Hardstem Bulrush-5,Riparian,1,99,0,0,,,,,,,,,,,,
Great Lakes Pine Barrens,Jack Pine-1,Conifer,0,99,60,25,15,1,1,,1,0,0,0,1,0,0,0
Great Lakes Spruce-Fir,Black Spruce-White Spruce-Balsam Fir-4,Conifer,0,99,95,95,20,1,1,,1,0,0,0,1,0,0,0
Great Lakes Wet-Mesic Lakeplain Prairie,Upright Sedge-Little Bluestem-Common Mountain Mint-2,Riparian,1,99,0,0,,,,,,,,,,,,
Great Lakes Wooded Dune and Swale,Beachgrass-Northern White Cedar-5,Riparian,0.5,99,60,60,20,1,1,,1,0,0,0,1,0,0,0
Great Plains Prairie Pothole,Woolyfruit Sedge-Spikebrush-Western Wheatgrass-4,Grassland,0,99,0,0,,,,,,,,,,,,
Gulf and Atlantic Coastal Plain Floodplain Systems,Water Oak-American Elm-Swampprivet-3,Riparian,1,99,85,85,30,0,,1,0,0,0,1,0,0,0,1
Gulf and Atlantic Coastal Plain Floodplain Systems,Willow Oak-Water Oak-American Elm-3,Riparian,1,99,85,85,30,0,,1,0,0,0,1,0,0,0,1
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Loblolly Pine-Southern Magnolia-Cypress-1,Riparian,1,99,95,95,40,0.5,0.5,1,0.5,0.5,0,1,0.25,0.25,0,0.5
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,American Sycamore-Sugarberry-Pine-3,Riparian,1,99,95,95,40,0,,1,0,0,0,1,0,0,0,1
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Cedar Elm-Hackberry-Green Ash-1,Riparian,1,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparsely Vegetated,Sparse,0,1,0,0,,,,,,,,,,,,
Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,1,99,85,85,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Saltmeadow Cordgrass-Saltgrass-Gulf Cordgrass-2,Grassland,1,99,0,0,,,,,,,,,,,,
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Saltmeadow Cordgrass-Saltgrass-Gulf Cordgrass-2,Riparian,1,99,0,0,,,,,,,,,,,,
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Smooth Cordgrass-Saltmeadow Rush-Saltmeadow Cordgrass-2,Riparian,1,99,0,0,,,,,,,,,,,,
