BPS_NAME,GROUPNAME,GROUPVEG,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
South Florida Pine Rockland,Florida Slash Pine-Wild Guava-False Tamarind-1,Conifer,0,99,80,60,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
South Texas Lomas,Texas Ebony-Berlandiers Fiddlewood-5,Shrubland,0,25,25,0,,,,,,,,,,,,
South Texas Sand Sheet Grassland,Shore Little Bluestem-Live Oak-2,Grassland,0,99,10,10,,1,0,,0,1,0,0,0,1,0,0
South-Central Interior Large Floodplain,American Sycamore-River Birch-Sugarberry-3,Riparian,1,99,95,85,30,0,,1,0,0,0,1,0,0,0,1
South-Central Interior Mesophytic Forest,Sugar Maple-Beech-Basswood-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
South-Central Interior/Upper Coastal Plain Flatwoods,Post Oak-Blackjack Oak-Persimmon-1,Hardwood,0.5,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
South-Central Interior/Upper Coastal Plain Flatwoods,White Oak-Post Oak-Sweetgum-1,Hardwood,0.5,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
South-Central Interior/Upper Coastal Plain Wet Flatwoods,Pin Oak-Cherrybark Oak-Elm-1,Hardwood,1,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
South-Central Interior/Upper Coastal Plain Wet Flatwoods,Post Oak-Cherrybark Oak-Woodoats-1,Hardwood,1,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
Southeast Florida Coastal Strand and Maritime Hammock,Live Oak-Palmetto-Sea Grape-1,Hardwood,0,99,95,60,20,1,0,,0,1,0,0,0,1,0,0
Southeastern Great Plains Tallgrass Prairie,Big Bluestem-Little Bluestem-Indiangrass-2,Grassland,0,99,0,0,,,,,,,,,,,,
Southeastern Interior Longleaf Pine Woodland,Longleaf Pine-Southern Red Oak-Little Bluestem-1,Conifer,0,99,60,60,30,0.5,0.9,1,0.9,0.1,0,1,0.45,0.05,0,0.5
Southern and Central Appalachian Cove Forest,Beech-Basswood-Yellow Buckeye-3,Hardwood,0,100,95,95,40,0.1,1,1,0.111111111,0,0,1,0.1,0,0,0.9
Southern Appalachian Grass and Shrub Bald,Catawba Rosebay-Flattened Oatgrass-3,Grassland,0,99,60,0,3,1,0,,0,1,0,0,0,1,0,0
Southern Appalachian Low-Elevation Pine Forest,Virginia Pine-Shortleaf Pine-1,Conifer,0,100,95,95,25,1,1,,1,0,0,0,1,0,0,0
Southern Appalachian Montane Pine Forest and Woodland,Table Mountain Pine-Pitch Pine-1,Conifer,0,100,85,85,20,1,1,,1,0,0,0,1,0,0,0
Southern Appalachian Northern Hardwood Forest,Sugar Maple-Beech-Yellow Buckeye-5,Hardwood,0,100,95,95,40,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
Southern Appalachian Oak Forest,Chestnut Oak-White Oak-Chestnut-1,Hardwood,0,100,95,95,25,0.1,1,1,0.111111111,0,0,1,0.1,0,0,0.9
Southern Atlantic Coastal Plain Dune and Maritime Grassland,Sea Oats-Saltmeadow Cordgrass-Shore Little Bluestem-2,Grassland,0.5,99,0,0,,,,,,,,,,,,
Southern Atlantic Coastal Plain Maritime Forest,Longleaf Pine-Honduras Pine-Sand Live Oak-1,Hardwood-Conifer,0,100,60,25,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,1,99,80,60,30,1,0.5,,1,1,0,0,0.5,0.5,0,0
Southern Blackland Tallgrass Prairie,Little Bluestem-Indiangrass--2,Grassland,0,99,0,0,,,,,,,,,,,,
Southern California Coastal Scrub,Coastal Sage-Black Sage-4,Shrubland,0,99,60,0,,,,,,,,,,,,
Southern California Dry-Mesic Chaparral,Chamise-Manzanita-4,Shrubland,0,99,60,0,,1,0,,0,1,0,0,0,1,0,0
Southern California Oak Woodland and Savanna,Coast Live Oak-California Walnut-1,Hardwood,0,99,25,25,25,0.5,0,1,0,1,0,1,0,0.5,0,0.5
Southern Coastal Plain Blackland Prairie and Woodland,Post Oak-Eastern Redcedar-Little Bluestem-1,Grassland,0,99,10,10,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Southern Coastal Plain Dry Upland Hardwood Forest,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Southern Coastal Plain Mesic Slope Forest,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,0,100,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Southern Coastal Plain Nonriverine Cypress Dome,Pond Cypress-1,Riparian,1,99,95,25,25,0,,1,0,0,0,1,0,0,0,1
Southern Coastal Plain Seepage Swamp and Baygall,Sweetbay-Swamp Tupelo-Swamp Bay-3,Riparian,1,99,95,95,20,0.5,0,1,0,1,0,1,0,0.5,0,0.5
Southern Colorado Plateau Sand Shrubland,Mormon Tea-Fringed Sage-3,Shrubland,0,25,25,0,,,,,,,,,,,,
Southern Crowley`s Ridge Mesic Loess Slope Forest,Beech-Tuliptree-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
Southern Interior Low Plateau Dry-Mesic Oak Forest,White Oak-Black Oak-Chestnut Oak-2,Hardwood,0,100,95,95,25,0,,1,0,0,0,1,0,0,0,1
Southern Piedmont Dry Oak(-Pine) Forest,White Oak-Southern Red Oak-Shortleaf Pine-1,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Southern Piedmont Mesic Forest,Beech-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Post Oak-White Oak-Eastern Redcedar-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Douglas Fir-White Fir-1,Conifer,0,100,85,85,20,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Juniper Woodland and Savanna,Oneseed Juniper-Pinchots Juniper-3,Conifer,0,99,25,25,15,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Juniper Woodland and Savanna,Two Needle Pinyon-Rocky Mountain Juniper-1,Conifer,0,99,25,25,15,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Douglas Fir-White Fir-3,Conifer,0,100,95,95,25,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,White Fir-Limber Pine-3,Conifer,0,100,95,95,25,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Montane-Subalpine Grassland,Arizona Fescue-Mountain Muhly-1,Grassland,0,99,0,0,,,,,,,,,,,,
Southern Rocky Mountain Pinyon-Juniper Woodland,Two Needle Pinyon-Rocky Mountain Juniper-3,Conifer,0,99,60,60,15,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Savanna,Ponderosa Pine-1,Conifer,0,99,25,25,,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Savanna,Ponderosa Pine-3,Conifer,0,99,25,25,,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Savanna - North,Ponderosa Pine-1,Conifer,0,99,25,25,,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Savanna - South,Ponderosa Pine-Sand Bluestem-1,Conifer,0,99,25,25,,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Woodland,Ponderosa Pine-1,Conifer,0,99,60,60,20,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Woodland,Ponderosa Pine-3,Conifer,0,99,60,60,20,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Woodland - North,Ponderosa Pine-3,Conifer,0,99,60,60,20,1,1,,1,0,0,0,1,0,0,0
Southern Rocky Mountain Ponderosa Pine Woodland - South,Ponderosa Pine-1,Conifer,0,99,60,60,20,1,1,,1,0,0,0,1,0,0,0
Southwest Florida Coastal Strand and Maritime Hammock,Live Oak-Palmetto-Sea Grape-1,Hardwood,0,99,95,60,20,1,0,,0,1,0,0,0,1,0,0
Tamaulipan Calcareous Thornscrub,Texas Barometer Bush-Guajillo-5,Shrubland,0,60,60,0,5,,,,,,,,,,,
Tamaulipan Clay Grassland,Little Bluestem-Multiflower False Rhodes Grass-2,Grassland,0,99,0,0,,,,,,,,,,,,
Tamaulipan Floodplain,Sugarberry-Lollipop Mimosa-1,Riparian,1,99,95,25,25,0,,1,0,0,0,1,0,0,0,1
Tamaulipan Mixed Deciduous Thornscrub,Mesquite-Lime Pricklyash-2,Shrubland,0,60,60,0,5,0.5,0,0,0,1,1,0,0,0.5,0.5,0
Tamaulipan Riparian Systems,Mexican Ash-Texas Ebony-1,Riparian,1,99,95,60,20,0.5,0,1,0,1,0,1,0,0.5,0,0.5
Tamaulipan Savanna Grassland,Little Bluestem-Multiflower False Rhodes Grass-Mesquite-2,Grassland,0,99,10,0,3,0,,1,0,0,0,1,0,0,0,1
Texas-Louisiana Coastal Prairie,Big Bluestem-Indiangrass-Brownseed Paspalum-2,Grassland,0,99,0,0,,,,,,,,,,,,
Texas-Louisiana Saline Coastal Prairie,Little Bluestem-Gulf Cordgrass-2,Grassland,1,99,0,0,,,,,,,,,,,,
West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,Live Oak-Sugarberry-Hercules Club-1,Hardwood,0,100,85,85,25,0.5,0,1,0,1,0,1,0,0.5,0,0.5
West Gulf Coastal Plain Mesic Hardwood Forest,Beech-White Oak-Red Oak-1,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,Willow Oak-Overcup Oak-3,Hardwood,1,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
West Gulf Coastal Plain Northern Calcareous Prairie,Little Bluestem-Indiangrass-Post Oak-1,Grassland,0,99,0,0,,,,,,,,,,,,
West Gulf Coastal Plain Pine-Hardwood Flatwoods,Loblolly Pine-Southern Red Oak-1,Hardwood-Conifer,0.5,99,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
West Gulf Coastal Plain Pine-Hardwood Forest,Shortleaf Pine-Loblolly Pine-White Oak-1,Hardwood-Conifer,0,100,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,Runner Oak-Shortleaf Pine-Little Bluestem-1,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
West Gulf Coastal Plain Southern Calcareous Prairie,Little Bluestem-Indiangrass-Eastern Redcedar-2,Grassland,0,99,0,0,,,,,,,,,,,,
West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,Longleaf Pine-Broomsedge Bluestem-Little Bluestem-1,Conifer,0,100,60,60,30,1,0.9,,1,0.111111111,0,0,0.9,0.1,0,0
West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,1,99,80,60,30,1,0.5,,1,1,0,0,0.5,0.5,0,0
Western Great Plains Depressional Wetland Systems,Tobosagrass-Buffalograss-Whiteray Leastdaisy-2,Riparian,1,99,0,0,,,,,,,,,,,,
Western Great Plains Depressional Wetland Systems,Western Wheatgrass-Needle Spikebrush-2,Riparian,1,99,0,0,,,,,,,,,,,,
Western Great Plains Depressional Wetland Systems - Playa,Buffalo Grass-Blue Grama-2,Riparian,1,99,0,0,,,,,,,,,,,,
Western Great Plains Depressional Wetland Systems - Saline,Alkali Sacaton-Saltgrass-2,Riparian,1,60,0,0,1,,,,,,,,,,,
Western Great Plains Dry Bur Oak Forest and Woodland,Bur Oak-Chokecherry-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
Western Great Plains Floodplain Systems,American Sycamore-Cedar Elm-Texas Ash-1,Riparian,1,99,95,80,25,0,,1,0,0,0,1,0,0,0,1
Western Great Plains Floodplain Systems,Eastern Cottonwood-Sandbar Willow-Green Ash-3,Riparian,1,99,95,80,25,0,,1,0,0,0,1,0,0,0,1
Western Great Plains Foothill and Piedmont Grassland,Big Bluestem-Little Bluestem-Mountain Muhly-2,Grassland,0,99,0,0,,,,,,,,,,,,
Western Great Plains Mesquite Woodland and Shrubland,Mesquite-Little Bluestem-Sideoats Grama-1,Shrubland,0,99,60,25,,0,,1,0,0,0,1,0,0,0,1
Western Great Plains Sand Prairie,Sand Bluestem-Prairie Sandreed-2,Grassland,0,99,0,0,,,,,,,,,,,,
Western Great Plains Sandhill Steppe,Sand Sagebrush-Shinnery-4,Shrubland,0,60,10,0,,,,,,,,,,,,
Western Great Plains Shortgrass Prairie,Blue Grama-Buffalo Grass-2,Grassland,0,99,0,0,,,,,,,,,,,,
Western Great Plains Sparsely Vegetated Systems,Sparsely Vegetated,Sparse,0,1,0,0,,,,,,,,,,,,
Western Great Plains Tallgrass Prairie,Bluebunch Wheatgrass-Big Bluestem-Little Bluestem-2,Grassland,0,99,0,0,,,,,,,,,,,,
Western Great Plains Wooded Draw and Ravine,Snowberry-Skunkbrush-2,Shrubland,0,99,60,10,,0,,1,0,0,0,1,0,0,0,1
Western Highland Rim Prairie and Barrens,White Oak-Post Oak- Big Bluestem-1,Grassland,0,99,25,10,,0,,1,0,0,0,1,0,0,0,1
Willamette Valley Upland Prairie and Savanna,Oregon White Oak-RoemersFescue-Oatgrass-1,Hardwood,0,99,10,10,25,0,,1,0,0,0,1,0,0,0,1
Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Wyoming Threetip Sage-Low Sage-5,Shrubland,0,60,10,0,,,,,,,,,,,,
