VEGCODE,LEGCODE,COVERTYPE,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
4237,42/423/4232/4233/4234/4235/4236/4237,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4238,42/423/4232/4233/4234/4235/4236/4237,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
42,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
423,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4232,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4233,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4234,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4235,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4236,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4237,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4238,42/423/4232/4233/4234/4235/4236/4237/423,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4211,4211/4212/4216,WHITE PINE-RED PINE FOREST,0,99,95,95,30,1,1,1,1,0,0,0,1,0,0,0
4212,4211/4212/4216,WHITE PINE-RED PINE FOREST,0,99,95,95,30,1,1,1,1,0,0,0,1,0,0,0
4216,4211/4212/4216,WHITE PINE-RED PINE FOREST,0,99,95,95,30,1,1,1,1,0,0,0,1,0,0,0
4213,4213/4215,JACK PINE-RED PINE FOREST,0,99,85,75,25,1,1,1,1,0,0,0,1,0,0,0
4215,4213/4215,JACK PINE-RED PINE FOREST,0,99,85,75,25,1,1,1,1,0,0,0,1,0,0,0
4222,4221/4222/4223,SPRUCE-FIR-CEDAR FOREST,0,100,95,95,20,1,1,1,1,0,0,0,1,0,0,0
4223,4221/4222/4223,SPRUCE-FIR-CEDAR FOREST,0,100,95,95,20,1,1,1,1,0,0,0,1,0,0,0
4226,4226/4227,HEMLOCK-WHITE PINE FOREST,0,100,95,95,40,1,1,1,1,0,0,0,1,0,0,0
4227,4226/4227,HEMLOCK-WHITE PINE FOREST,0,100,95,95,40,1,1,1,1,0,0,0,1,0,0,0
51,51/52/54,LAKE/RIVER,,,,,,,,,,,,,,,,
52,51/52/54,LAKE/RIVER,,,,,,,,,,,,,,,,
54,51/52/54,LAKE/RIVER,,,,,,,,,,,,,,,,
6121,6121/6124/6125,MUSKEG/BOG,1,99,60,5,15,1,1,1,1,0,0,0,1,0,0,0
6125,6121/6124/6125,MUSKEG/BOG,1,99,60,5,15,1,1,1,1,0,0,0,1,0,0,0
6122,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
